dataset,wave,domain,variable,variable_label,has_value_labels
CFPS,2014,education,te4,最高学历,True
CFPS,2014,employment,everwork,是否曾经工作,True
CFPS,2014,region,qa301,现在的户口状况,True
CFPS,2014,region,qa302,现在的户口所在地,True
CFPS,2014,region,qa302ccode,当前户口所在省,True
CFPS,2014,education,wc01,现在在上学吗,True
CFPS,2014,education,wc02,两次调查间是否上过学,True
CFPS,2014,education,ks9total_m,个人及家庭支付教育费用,True
CFPS,2014,marriage,qea0,当前婚姻状态,True
CFPS,2014,employment,qg1,工作所有者,True
CFPS,2014,employment,qg101,工作性质,True
CFPS,2014,employment,jobclass_base,主要工作类型(base),True
CFPS,2014,employment,qg303code,QG303职业编码,True
CFPS,2014,employment,jobclass,主要工作类型,True
CFPS,2014,employment,qg6,每周工作时间（小时）,True
CFPS,2014,employment,qg12,工作总收入（元）,True
CFPS,2014,income,qg12,工作总收入（元）,True
CFPS,2014,employment,qg1201_min,工作总收入区间下限：修正后,True
CFPS,2014,income,qg1201_min,工作总收入区间下限：修正后,True
CFPS,2014,employment,qg1201_max,工作总收入区间上限：修正后,True
CFPS,2014,income,qg1201_max,工作总收入区间上限：修正后,True
CFPS,2014,income,qg1204_min,非经营税后总收入（区间）下限：修正后,True
CFPS,2014,income,qg1204_max,非经营税后总收入（区间）上限：修正后,True
CFPS,2014,income,qg1203,非经营税后总收入（元）,True
CFPS,2014,id_person,pid_a_1,个人ID：家庭成员1,True
CFPS,2014,id_person,pid_a_2,个人ID：家庭成员2,True
CFPS,2014,id_person,pid_a_3,个人ID：家庭成员3,True
CFPS,2014,id_person,pid_a_4,个人ID：家庭成员4,True
CFPS,2014,id_person,pid_a_5,个人ID：家庭成员5,True
CFPS,2014,id_person,pid_a_6,个人ID：家庭成员6,True
CFPS,2014,id_person,pid_a_7,个人ID：家庭成员7,True
CFPS,2014,id_person,pid_a_8,个人ID：家庭成员8,True
CFPS,2014,id_person,pid_a_9,个人ID：家庭成员9,True
CFPS,2014,id_person,pid_a_10,个人ID：家庭成员10,True
CFPS,2014,id_person,pid_a_11,个人ID：家庭成员11,True
CFPS,2014,id_person,pid_a_12,个人ID：家庭成员12,True
CFPS,2014,id_person,pid_a_13,个人ID：家庭成员13,True
CFPS,2014,id_person,pid_a_14,个人ID：家庭成员14,True
CFPS,2014,id_person,pid_a_15,个人ID：家庭成员15,True
CFPS,2014,id_person,pid_a_16,个人ID：家庭成员16,True
CFPS,2014,id_person,pid_a_17,个人ID：家庭成员17,True
CFPS,2014,income,p_wage,个人工资性收入,True
CFPS,2014,income,p_income,个人总收入,True
CFPS,2014,education,cfps2014sch,CFPS2014个人问卷受访者离校/上学阶段,True
CFPS,2014,education,cfps2014edu,CFPS2014个人问卷受访者已完成的最高学历,True
CFPS,2014,education,cfps2014eduy,CFPS2014个人问卷受访者已完成的受教育年限,True
CFPS,2014,education,cfps2014eduy_im,CFPS2014个人问卷受访者已完成的受教育年限（插补）,True
CFPS,2014,birth_age,qa101,出生时的体重,True
CFPS,2014,birth_age,qa401,出生时家庭地址,True
CFPS,2014,region,qa401ccode,出生时家庭地址所在省,True
CFPS,2014,birth_age,qa401ccode,出生时家庭地址所在省,True
CFPS,2014,region,qa501,3岁时居住地是否与出生地相同,True
CFPS,2014,birth_age,qa501,3岁时居住地是否与出生地相同,True
CFPS,2014,region,qa502,您3岁时的居住地,True
CFPS,2014,region,qa502ccode,3岁居住省份,True
CFPS,2014,region,qa503,3岁时户口状况,True
CFPS,2014,region,qa601,12岁时居住地是否与出生地相同,True
CFPS,2014,birth_age,qa601,12岁时居住地是否与出生地相同,True
CFPS,2014,region,qa602,12岁时居住地,True
CFPS,2014,region,qa602ccode,12岁居住省份,True
CFPS,2014,region,qa603,12岁时户口状况,True
CFPS,2014,region,qa303y,不在户口所在地居住(年),True
CFPS,2014,region,qa303m,不在户口所在地居住（月）,True
CFPS,2014,marriage,qobs2,受访者是否共同查看电脑上的内容: EHC婚姻,True
CFPS,2014,employment,qobs3,受访者是否共同查看电脑上的内容: EHC工作,True
CFPS,2014,region,ear101a,居住地址（省）,True
CFPS,2014,region,ear102,该地址是您当前主要的居住地址吗？,True
CFPS,2014,region,ear201a,当前居住地址（省）,True
CFPS,2014,region,ear4,其他居住地址数（处）,True
CFPS,2014,education,qb302_a_1,去世兄弟姐妹学历,True
CFPS,2014,employment,qb303_a_1code,去世兄弟姐妹职业编码1,True
CFPS,2014,education,qb302_a_2,去世兄弟姐妹学历,True
CFPS,2014,employment,qb303_a_2code,去世兄弟姐妹职业编码2,True
CFPS,2014,education,qb302_a_3,去世兄弟姐妹学历,True
CFPS,2014,employment,qb303_a_3code,去世兄弟姐妹职业编码3,True
CFPS,2014,education,qb302_a_4,去世兄弟姐妹学历,True
CFPS,2014,employment,qb303_a_4code,去世兄弟姐妹职业编码4,True
CFPS,2014,education,qb302_a_5,去世兄弟姐妹学历,True
CFPS,2014,employment,qb303_a_5code,去世兄弟姐妹职业编码5,True
CFPS,2014,education,qb302_a_6,去世兄弟姐妹学历,True
CFPS,2014,employment,qb303_a_6code,去世兄弟姐妹职业编码6,True
CFPS,2014,education,qb302_a_7,去世兄弟姐妹学历,True
CFPS,2014,employment,qb303_a_7code,去世兄弟姐妹职业编码7,True
CFPS,2014,education,qb302_a_8,去世兄弟姐妹学历,True
CFPS,2014,employment,qb303_a_8code,去世兄弟姐妹职业编码8,True
CFPS,2014,education,qb302_a_9,去世兄弟姐妹学历,True
CFPS,2014,employment,qb303_a_9code,去世兄弟姐妹职业编码9,True
CFPS,2014,education,qb302_a_10,去世兄弟姐妹学历,True
CFPS,2014,employment,qb303_a_10code,去世兄弟姐妹职业编码10,True
CFPS,2014,education,qc201,您期望的受教育程度,True
CFPS,2014,edu_expect,qc201,您期望的受教育程度,True
CFPS,2014,education,qc301,非学历教育次数(次),True
CFPS,2014,education,qc302_a_1,非学历教育天数(天),True
CFPS,2014,education,qc303_a_1,非学历教育小时数(小时),True
CFPS,2014,education,qc304_a_1,非学历教育类别,True
CFPS,2014,education,qc305_a_1,非学历教育是否单位组织,True
CFPS,2014,employment,qc305_a_1,非学历教育是否单位组织,True
CFPS,2014,education,qc302_a_2,非学历教育天数(天),True
CFPS,2014,education,qc303_a_2,非学历教育小时数(小时),True
CFPS,2014,education,qc304_a_2,非学历教育类别,True
CFPS,2014,education,qc305_a_2,非学历教育是否单位组织,True
CFPS,2014,employment,qc305_a_2,非学历教育是否单位组织,True
CFPS,2014,marriage,qea1,调查时婚姻状况,True
CFPS,2014,marriage,qea2,2012年婚姻状况,True
CFPS,2014,marriage,cfps2012_marriage_update,2012婚姻状态更新,True
CFPS,2014,birth_age,qea201y,配偶/同伴出生日期(年),True
CFPS,2014,marriage,qea201y,配偶/同伴出生日期(年),True
CFPS,2014,birth_age,qea201m,配偶/同伴出生日期(月),True
CFPS,2014,marriage,qea201m,配偶/同伴出生日期(月),True
CFPS,2014,education,qea202,配偶/同伴学历状况,True
CFPS,2014,marriage,qea202,配偶/同伴学历状况,True
CFPS,2014,marriage,qea203code,配偶/同伴职业编码,True
CFPS,2014,employment,qea203code,配偶/同伴职业编码,True
CFPS,2014,marriage,qea204,与配偶/同伴如何认识,True
CFPS,2014,marriage,qea205y,结婚日期(年),True
CFPS,2014,marriage,qea205m,结婚日期(月),True
CFPS,2014,marriage,qea2071,是否是初婚,True
CFPS,2014,marriage,qea208y,离婚日期(年),True
CFPS,2014,marriage,qea208m,离婚日期(月),True
CFPS,2014,marriage,qea209y,配偶去世日期(年),True
CFPS,2014,marriage,qea209m,配偶去世日期(月),True
CFPS,2014,marriage,eeb401y_a_1,结婚日期（年）,True
CFPS,2014,marriage,eeb401m_a_1,结婚日期（月）,True
CFPS,2014,birth_age,eeb402y_a_1,对方出生日期（年）,True
CFPS,2014,birth_age,eeb402m_a_1,对方出生日期（月）,True
CFPS,2014,education,eeb4021_a_1,对方已完成（毕业）的最高学历,True
CFPS,2014,employment,eeb4022_a_1code,对方职业编码,True
CFPS,2014,marriage,eeb406y_a_1,婚姻结束时间（月）,True
CFPS,2014,marriage,eeb406m_a_1,婚姻结束时间（月）,True
CFPS,2014,marriage,eeb401y_a_2,结婚日期（年）,True
CFPS,2014,marriage,eeb401m_a_2,结婚日期（月）,True
CFPS,2014,birth_age,eeb402y_a_2,对方出生日期（年）,True
CFPS,2014,birth_age,eeb402m_a_2,对方出生日期（月）,True
CFPS,2014,education,eeb4021_a_2,对方已完成（毕业）的最高学历,True
CFPS,2014,marriage,eeb406y_a_2,婚姻结束时间（年）,True
CFPS,2014,marriage,eeb406m_a_2,婚姻结束时间（月）,True
CFPS,2014,marriage,eeb401y_a_3,结婚日期（年）,True
CFPS,2014,marriage,eeb401m_a_3,结婚日期（月）,True
CFPS,2014,birth_age,eeb402y_a_3,对方出生日期（年）,True
CFPS,2014,birth_age,eeb402m_a_3,对方出生日期（月）,True
CFPS,2014,education,eeb4021_a_3,对方已完成（毕业）的最高学历,True
CFPS,2014,marriage,eeb406y_a_3,婚姻结束时间（年）,True
CFPS,2014,marriage,eeb406m_a_3,婚姻结束时间（月）,True
CFPS,2014,marriage,eeb401y_a_4,结婚日期（年）,True
CFPS,2014,marriage,eeb401m_a_4,结婚日期（月）,True
CFPS,2014,birth_age,eeb402y_a_4,对方出生日期（年）,True
CFPS,2014,birth_age,eeb402m_a_4,对方出生日期（月）,True
CFPS,2014,education,eeb4021_a_4,对方已完成（毕业）的最高学历,True
CFPS,2014,marriage,eeb406y_a_4,婚姻结束时间（年）,True
CFPS,2014,marriage,eeb406m_a_4,婚姻结束时间（月）,True
CFPS,2014,marriage,eeb401y_a_5,结婚日期（年）,True
CFPS,2014,marriage,eeb401m_a_5,结婚日期（月）,True
CFPS,2014,birth_age,eeb402y_a_5,对方出生日期（年）,True
CFPS,2014,birth_age,eeb402m_a_5,对方出生日期（月）,True
CFPS,2014,education,eeb4021_a_5,对方已完成（毕业）的最高学历,True
CFPS,2014,marriage,eeb406y_a_5,婚姻结束时间（年）,True
CFPS,2014,marriage,eeb406m_a_5,婚姻结束时间（月）,True
CFPS,2014,marriage,eeb401m_a_6,结婚日期（月）,True
CFPS,2014,birth_age,eeb402y_a_6,对方出生日期（年）,True
CFPS,2014,birth_age,eeb402m_a_6,对方出生日期（月）,True
CFPS,2014,education,eeb4021_a_6,对方已完成（毕业）的最高学历,True
CFPS,2014,marriage,eeb406y_a_6,婚姻结束时间（年）,True
CFPS,2014,marriage,eeb406m_a_6,婚姻结束时间（月）,True
CFPS,2014,marriage,eeb401m_a_7,结婚日期（月）,True
CFPS,2014,birth_age,eeb402y_a_7,对方出生日期（年）,True
CFPS,2014,birth_age,eeb402m_a_7,对方出生日期（月）,True
CFPS,2014,education,eeb4021_a_7,对方已完成（毕业）的最高学历,True
CFPS,2014,marriage,eeb406y_a_7,婚姻结束时间（年）,True
CFPS,2014,marriage,eeb406m_a_7,婚姻结束时间（月）,True
CFPS,2014,marriage,eeb401m_a_8,结婚日期（月）,True
CFPS,2014,birth_age,eeb402y_a_8,对方出生日期（年）,True
CFPS,2014,birth_age,eeb402m_a_8,对方出生日期（月）,True
CFPS,2014,education,eeb4021_a_8,对方已完成（毕业）的最高学历,True
CFPS,2014,marriage,eeb406y_a_8,婚姻结束时间（年）,True
CFPS,2014,marriage,eeb406m_a_8,婚姻结束时间（月）,True
CFPS,2014,marriage,eeb401m_a_9,结婚日期（月）,True
CFPS,2014,birth_age,eeb402y_a_9,对方出生日期（年）,True
CFPS,2014,birth_age,eeb402m_a_9,对方出生日期（月）,True
CFPS,2014,education,eeb4021_a_9,对方已完成（毕业）的最高学历,True
CFPS,2014,marriage,eeb406y_a_9,婚姻结束时间（年）,True
CFPS,2014,marriage,eeb406m_a_9,婚姻结束时间（月）,True
CFPS,2014,marriage,eeb401m_a_10,结婚日期（月）,True
CFPS,2014,birth_age,eeb402y_a_10,对方出生日期（年）,True
CFPS,2014,birth_age,eeb402m_a_10,对方出生日期（月）,True
CFPS,2014,education,eeb4021_a_10,对方已完成（毕业）的最高学历,True
CFPS,2014,marriage,eeb406y_a_10,婚姻结束时间（年）,True
CFPS,2014,marriage,eeb406m_a_10,婚姻结束时间（月）,True
CFPS,2014,birth_age,eeb603y_a_1,对方的出生年月是 （年）,True
CFPS,2014,birth_age,eeb603m_a_1,对方的出生年月是（月）,True
CFPS,2014,birth_age,eeb603y_a_2,对方的出生年月是 （年）,True
CFPS,2014,birth_age,eeb603m_a_2,对方的出生年月是（月）,True
CFPS,2014,birth_age,eeb603y_a_3,对方的出生年月是 （年）,True
CFPS,2014,birth_age,eeb603m_a_3,对方的出生年月是（月）,True
CFPS,2014,birth_age,eeb603y_a_4,对方的出生年月是 （年）,True
CFPS,2014,birth_age,eeb603m_a_4,对方的出生年月是（月）,True
CFPS,2014,marriage,cohabitn,EHC回忆时段内的最终走向婚姻的同居次数,True
CFPS,2014,marriage,cmstart_best,EHC回忆时段内新开始且持续到当前的婚姻_BEST,True
CFPS,2014,marriage,eeb2,您与2012年调查/2012年1月1日时的同居伙伴是否结婚？,True
CFPS,2014,marriage,eeb201y,你们的结婚日期是？ （年）,True
CFPS,2014,marriage,eeb201m,你们的结婚日期是?（月）,True
CFPS,2014,marriage,eeb202y,您与EB200的婚姻持续到什么时候？ （年）,True
CFPS,2014,marriage,eeb202m,您与EB200的婚姻持续到什么时候?（月）,True
CFPS,2014,marriage,currentmorc,婚姻或同居是否持续到当前,True
CFPS,2014,marriage,currentm,婚姻是否持续到当前,True
CFPS,2014,marriage,cmstart,EHC回忆时段内新开始且持续到当前的婚姻,True
CFPS,2014,employment,qga1,全职工作经历,True
CFPS,2014,employment,qga302,实习每周工作时间（小时）,True
CFPS,2014,employment,qga401code,QGA401职业编码,True
CFPS,2014,employment,qgb1,过去一周工作状态,True
CFPS,2014,employment,qgb201,返回工作岗位,True
CFPS,2014,employment,qgb4,从事农业工作,True
CFPS,2014,employment,qgb5,是否找工作,True
CFPS,2014,employment,qgb501,两周内开始工作,True
CFPS,2014,employment,qgb6,没有工作原因,True
CFPS,2014,employment,employ2014,当前工作状态,True
CFPS,2014,employment,qgb601,找不到适合工作的因素,True
CFPS,2014,employment,egc2012y_a_1,您什么时候开始从事这份工作？,True
CFPS,2014,employment,egc2012m_a_1,您什么时候开始从事这份工作？,True
CFPS,2014,employment,egc2013y_a_1,您什么时候结束这份工作？（年）,True
CFPS,2014,employment,egc2013m_a_1,您什么时候结束这份工作？（月）,True
CFPS,2014,employment,egc202_a_1,您的这份工作是为自己/自家干活还是受雇于他人/他家/组织/单位/公司？,True
CFPS,2014,employment,egc2021_a_1,您的这份工作是农业工作还是非农工作？,True
CFPS,2014,employment,egc203_a_1,工作单位/雇主性质,True
CFPS,2014,employment,egc2031_a_1,您这份工作的雇主是否为个体工商户？,True
CFPS,2014,employment,egc204_a_1,过去12个月，您这份工作一般每周工作多少个小时？,True
CFPS,2014,employment,egc205_a_1,过去12个月，其他工作税后月收入：工作 1,True
CFPS,2014,income,egc205_a_1,过去12个月，其他工作税后月收入：工作 1,True
CFPS,2014,employment,mincomea_a_1,其他工作月收入（工作1）,True
CFPS,2014,income,mincomea_a_1,其他工作月收入（工作1）,True
CFPS,2014,employment,yincomea_a_1,其他工作年收入（工作1）,True
CFPS,2014,income,yincomea_a_1,其他工作年收入（工作1）,True
CFPS,2014,employment,egc2051_min_a_1,去12个月，其他工作税后月收入（工作 1）：最小值,True
CFPS,2014,income,egc2051_min_a_1,去12个月，其他工作税后月收入（工作 1）：最小值,True
CFPS,2014,employment,egc2051_max_a_1,过去12个月，其他工作税后月收入（工作 1）：最大值,True
CFPS,2014,income,egc2051_max_a_1,过去12个月，其他工作税后月收入（工作 1）：最大值,True
CFPS,2014,employment,mincomea_a_1_new,其他工作月收入（工作1）：清理后,True
CFPS,2014,income,mincomea_a_1_new,其他工作月收入（工作1）：清理后,True
CFPS,2014,employment,yincomea_a_1_new,其他工作年收入（工作1）：清理后,True
CFPS,2014,income,yincomea_a_1_new,其他工作年收入（工作1）：清理后,True
CFPS,2014,employment,egc2051_min_a_2,过去12个月，其他工作税后月收入（工作 2）：最小值,True
CFPS,2014,income,egc2051_min_a_2,过去12个月，其他工作税后月收入（工作 2）：最小值,True
CFPS,2014,employment,egc2051_max_a_2,过去12个月，其他工作税后月收入（工作 2）：最大值,True
CFPS,2014,income,egc2051_max_a_2,过去12个月，其他工作税后月收入（工作 2）：最大值,True
CFPS,2014,employment,mincomea_a_2_new,其他工作月收入（工作2）：清理后,True
CFPS,2014,income,mincomea_a_2_new,其他工作月收入（工作2）：清理后,True
CFPS,2014,employment,yincomea_a_2_new,其他工作年收入（工作2）：清理后,True
CFPS,2014,income,yincomea_a_2_new,其他工作年收入（工作2）：清理后,True
CFPS,2014,employment,egc2051_min_a_3,过去12个月，其他工作税后月收入（工作 3）：最小值,True
CFPS,2014,income,egc2051_min_a_3,过去12个月，其他工作税后月收入（工作 3）：最小值,True
CFPS,2014,employment,egc2051_max_a_3,过去12个月，其他工作税后月收入（工作 3）：最大值,True
CFPS,2014,income,egc2051_max_a_3,过去12个月，其他工作税后月收入（工作 3）：最大值,True
CFPS,2014,employment,mincomea_a_3_new,其他工作月收入（工作3）：清理后,True
CFPS,2014,income,mincomea_a_3_new,其他工作月收入（工作3）：清理后,True
CFPS,2014,employment,yincomea_a_3_new,其他工作年收入（工作3）：清理后,True
CFPS,2014,income,yincomea_a_3_new,其他工作年收入（工作3）：清理后,True
CFPS,2014,employment,egc2051_min_a_4,过去12个月，其他工作税后月收入（工作 4）：最小值,True
CFPS,2014,income,egc2051_min_a_4,过去12个月，其他工作税后月收入（工作 4）：最小值,True
CFPS,2014,employment,egc2051_max_a_4,过去12个月，其他工作税后月收入（工作 4）：最大值,True
CFPS,2014,income,egc2051_max_a_4,过去12个月，其他工作税后月收入（工作 4）：最大值,True
CFPS,2014,employment,mincomea_a_4_new,其他工作月收入（工作4）：清理后,True
CFPS,2014,income,mincomea_a_4_new,其他工作月收入（工作4）：清理后,True
CFPS,2014,employment,yincomea_a_4_new,其他工作年收入（工作4）：清理后,True
CFPS,2014,income,yincomea_a_4_new,其他工作年收入（工作4）：清理后,True
CFPS,2014,employment,egc2051_min_a_5,过去12个月，其他工作税后月收入（工作 5）：最小值,True
CFPS,2014,income,egc2051_min_a_5,过去12个月，其他工作税后月收入（工作 5）：最小值,True
CFPS,2014,employment,egc2051_max_a_5,过去12个月，其他工作税后月收入（工作 5）：最大值,True
CFPS,2014,income,egc2051_max_a_5,过去12个月，其他工作税后月收入（工作 5）：最大值,True
CFPS,2014,employment,mincomea_a_5_new,其他工作月收入（工作5）：清理后,True
CFPS,2014,income,mincomea_a_5_new,其他工作月收入（工作5）：清理后,True
CFPS,2014,employment,yincomea_a_5_new,其他工作年收入（工作5）：清理后,True
CFPS,2014,income,yincomea_a_5_new,其他工作年收入（工作5）：清理后,True
CFPS,2014,employment,egc2051_min_a_6,过去12个月，其他工作税后月收入（工作 6）：最小值,True
CFPS,2014,income,egc2051_min_a_6,过去12个月，其他工作税后月收入（工作 6）：最小值,True
CFPS,2014,employment,egc2051_max_a_6,过去12个月，其他工作税后月收入（工作 6）：最大值,True
CFPS,2014,income,egc2051_max_a_6,过去12个月，其他工作税后月收入（工作 6）：最大值,True
CFPS,2014,employment,mincomea_a_6_new,其他工作月收入（工作6）：清理后,True
CFPS,2014,income,mincomea_a_6_new,其他工作月收入（工作6）：清理后,True
CFPS,2014,employment,yincomea_a_6_new,其他工作年收入（工作6）：清理后,True
CFPS,2014,income,yincomea_a_6_new,其他工作年收入（工作6）：清理后,True
CFPS,2014,employment,egc2051_min_a_7,过去12个月，其他工作税后月收入（工作 7）：最小值,True
CFPS,2014,income,egc2051_min_a_7,过去12个月，其他工作税后月收入（工作 7）：最小值,True
CFPS,2014,employment,egc2051_max_a_7,过去12个月，其他工作税后月收入（工作 7）：最大值,True
CFPS,2014,income,egc2051_max_a_7,过去12个月，其他工作税后月收入（工作 7）：最大值,True
CFPS,2014,employment,mincomea_a_7_new,其他工作月收入（工作7）：清理后,True
CFPS,2014,income,mincomea_a_7_new,其他工作月收入（工作7）：清理后,True
CFPS,2014,employment,yincomea_a_7_new,其他工作年收入（工作7）：清理后,True
CFPS,2014,income,yincomea_a_7_new,其他工作年收入（工作7）：清理后,True
CFPS,2014,employment,egc2051_min_a_8,过去12个月，其他工作税后月收入（工作 8）：最小值,True
CFPS,2014,income,egc2051_min_a_8,过去12个月，其他工作税后月收入（工作 8）：最小值,True
CFPS,2014,employment,egc2051_max_a_8,过去12个月，其他工作税后月收入（工作 8）：最大值,True
CFPS,2014,income,egc2051_max_a_8,过去12个月，其他工作税后月收入（工作 8）：最大值,True
CFPS,2014,employment,mincomea_a_8_new,其他工作月收入（工作8）：清理后,True
CFPS,2014,income,mincomea_a_8_new,其他工作月收入（工作8）：清理后,True
CFPS,2014,employment,yincomea_a_8_new,其他工作年收入（工作8）：清理后,True
CFPS,2014,income,yincomea_a_8_new,其他工作年收入（工作8）：清理后,True
CFPS,2014,employment,egc2051_min_a_9,过去12个月，其他工作税后月收入（工作 9）：最小值,True
CFPS,2014,income,egc2051_min_a_9,过去12个月，其他工作税后月收入（工作 9）：最小值,True
CFPS,2014,employment,egc2051_max_a_9,过去12个月，其他工作税后月收入（工作 9）：最大值,True
CFPS,2014,income,egc2051_max_a_9,过去12个月，其他工作税后月收入（工作 9）：最大值,True
CFPS,2014,employment,mincomea_a_9_new,其他工作月收入（工作9）：清理后,True
CFPS,2014,income,mincomea_a_9_new,其他工作月收入（工作9）：清理后,True
CFPS,2014,employment,yincomea_a_9_new,其他工作年收入（工作9）：清理后,True
CFPS,2014,income,yincomea_a_9_new,其他工作年收入（工作9）：清理后,True
CFPS,2014,employment,egc2051_min_a_10,过去12个月，其他工作税后月收入（工作 10）：最小值,True
CFPS,2014,income,egc2051_min_a_10,过去12个月，其他工作税后月收入（工作 10）：最小值,True
CFPS,2014,employment,egc2051_max_a_10,过去12个月，其他工作税后月收入（工作 10）：最大值,True
CFPS,2014,income,egc2051_max_a_10,过去12个月，其他工作税后月收入（工作 10）：最大值,True
CFPS,2014,employment,mincomea_a_10_new,其他工作月收入（工作10）：清理后,True
CFPS,2014,income,mincomea_a_10_new,其他工作月收入（工作10）：清理后,True
CFPS,2014,employment,yincomea_a_10_new,其他工作年收入（工作10）：清理后,True
CFPS,2014,income,yincomea_a_10_new,其他工作年收入（工作10）：清理后,True
CFPS,2014,employment,egc2051_min_b_1,过去12个月，2012年主要工作税后月收入：最小值,True
CFPS,2014,income,egc2051_min_b_1,过去12个月，2012年主要工作税后月收入：最小值,True
CFPS,2014,employment,egc2051_max_b_1,过去12个月，2012年主要工作税后月收入：最大值,True
CFPS,2014,income,egc2051_max_b_1,过去12个月，2012年主要工作税后月收入：最大值,True
CFPS,2014,employment,mincomea_b_1_new,2012年主要工作月收入：清理后,True
CFPS,2014,income,mincomea_b_1_new,2012年主要工作月收入：清理后,True
CFPS,2014,employment,yincomea_b_1_new,2012年主要工作年收入：清理后,True
CFPS,2014,income,yincomea_b_1_new,2012年主要工作年收入：清理后,True
CFPS,2014,employment,incomea_new,所有其他工作总收入：清理后,True
CFPS,2014,income,incomea_new,所有其他工作总收入：清理后,True
CFPS,2014,employment,jobclass_base_a_1,其他工作类型(base)工作1,True
CFPS,2014,employment,jobclass_a_1,其他工作类型：工作1,True
CFPS,2014,employment,egc2012y_a_2,您什么时候开始从事这份工作？,True
CFPS,2014,employment,egc2012m_a_2,您什么时候开始从事这份工作？,True
CFPS,2014,employment,egc2013y_a_2,您什么时候结束这份工作？（年）,True
CFPS,2014,employment,egc2013m_a_2,您什么时候结束这份工作？（月）,True
CFPS,2014,employment,egc202_a_2,您的这份工作是为自己/自家干活还是受雇于他人/他家/组织/单位/公司？,True
CFPS,2014,employment,egc2021_a_2,您的这份工作是农业工作还是非农工作？,True
CFPS,2014,employment,egc203_a_2,工作单位/雇主性质,True
CFPS,2014,employment,egc2031_a_2,您这份工作的雇主是否为个体工商户？,True
CFPS,2014,employment,egc204_a_2,过去12个月，您这份工作一般每周工作多少个小时？,True
CFPS,2014,employment,egc205_a_2,过去12个月，其他工作税后月收入：工作 2,True
CFPS,2014,income,egc205_a_2,过去12个月，其他工作税后月收入：工作 2,True
CFPS,2014,employment,mincomea_a_2,其他工作月收入（工作2),True
CFPS,2014,income,mincomea_a_2,其他工作月收入（工作2),True
CFPS,2014,employment,yincomea_a_2,其他工作年收入（工作2),True
CFPS,2014,income,yincomea_a_2,其他工作年收入（工作2),True
CFPS,2014,employment,jobclass_base_a_2,其他工作类型(base)工作2,True
