dataset,year,file,variable,short,found,variable_label,conceptual_domain,measurement_level,scale_max,agree_code,direction,analytic_coding,n_total,n_valid,pct_valid,mean_raw
CFPS,2014,surveys/CFPS/cfps2014_adult.dta,qm1103,woman-needs-children,True,女人子女,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",39768,31487,79.2,4.129
CFPS,2014,surveys/CFPS/cfps2014_adult.dta,qm1104,men-share-half-housework,True,男人家务,gender_ideology,Likert,5,5,progressive,"recode to [0,1], higher=more traditional",39768,31515,79.2,4.085
CFPS,2020,surveys/CFPS/cfps2020_adult.dta,qm1101,men-career/women-family,True,男女分工,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",28530,22674,79.5,3.531
CFPS,2020,surveys/CFPS/cfps2020_adult.dta,qm1102,marry-well-over-work,True,女人婚姻,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",28530,22617,79.3,3.343
CFPS,2020,surveys/CFPS/cfps2020_adult.dta,qm1103,woman-needs-children,True,女人子女,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",28530,22636,79.3,3.834
CFPS,2020,surveys/CFPS/cfps2020_adult.dta,qm1104,men-share-half-housework,True,男人家务,gender_ideology,Likert,5,5,progressive,"recode to [0,1], higher=more traditional",28530,22669,79.5,4.15
CGSS,2010,surveys/CGSS/2010/CGSS2010.dta,a421,men-career/women-family,True,您是否同意下说法-男人以事业为重，女人以家庭为重,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11783,11756,99.8,3.594
CGSS,2010,surveys/CGSS/2010/CGSS2010.dta,a422,men-innately-more-capable,True,您是否同意下说法-男性能力天生比女性强,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11783,11738,99.6,2.974
CGSS,2010,surveys/CGSS/2010/CGSS2010.dta,a423,marry-well-over-work,True,您是否同意下说法-干得好不如嫁得好,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11783,11718,99.4,3.123
CGSS,2010,surveys/CGSS/2010/CGSS2010.dta,a424,fire-women-first,True,您是否同意下说法-在经济不景气时，应该先解雇女性员工,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11783,11689,99.2,2.109
CGSS,2010,surveys/CGSS/2010/CGSS2010.dta,a425,equal-housework-split,True,您是否同意下说法-夫妻应该均等分摊家务,gender_ideology,Likert,5,5,progressive,"recode to [0,1], higher=more traditional",11783,11749,99.7,3.892
CGSS,2012,surveys/CGSS/2012/CGSS2012.dta,a421,men-career/women-family,True,您是否同意-男人以事业为重，女人以家庭为重,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11765,11748,99.9,3.494
CGSS,2012,surveys/CGSS/2012/CGSS2012.dta,a422,men-innately-more-capable,True,您是否同意-男性能力天生比女性强,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11765,11733,99.7,3.001
CGSS,2012,surveys/CGSS/2012/CGSS2012.dta,a423,marry-well-over-work,True,您是否同意-干得好不如嫁得好,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11765,11732,99.7,3.117
CGSS,2012,surveys/CGSS/2012/CGSS2012.dta,a424,fire-women-first,True,您是否同意-在经济不景气时，应该先解雇女性员工,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11765,11711,99.5,2.117
CGSS,2012,surveys/CGSS/2012/CGSS2012.dta,a425,equal-housework-split,True,您是否同意-夫妻应该均等分摊家务,gender_ideology,Likert,5,5,progressive,"recode to [0,1], higher=more traditional",11765,11747,99.8,3.815
CGSS,2013,surveys/CGSS/2013/CGSS2013.dta,a421,men-career/women-family,True,您是否同意-男人以事业为重，女人以家庭为重,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11438,11416,99.8,3.416
CGSS,2013,surveys/CGSS/2013/CGSS2013.dta,a422,men-innately-more-capable,True,您是否同意-男性能力天生比女性强,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11438,11404,99.7,2.976
CGSS,2013,surveys/CGSS/2013/CGSS2013.dta,a423,marry-well-over-work,True,您是否同意-干得好不如嫁得好,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11438,11399,99.7,3.083
CGSS,2013,surveys/CGSS/2013/CGSS2013.dta,a424,fire-women-first,True,您是否同意-在经济不景气时，应该先解雇女性员工,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11438,11322,99.0,2.224
CGSS,2013,surveys/CGSS/2013/CGSS2013.dta,a425,equal-housework-split,True,您是否同意-夫妻应该均等分摊家务,gender_ideology,Likert,5,5,progressive,"recode to [0,1], higher=more traditional",11438,11407,99.7,3.721
CGSS,2015,surveys/CGSS/2015/CGSS2015.dta,a421,men-career/women-family,True,您是否同意-男人以事业为重，女人以家庭为重,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",10968,10907,99.4,3.366
CGSS,2015,surveys/CGSS/2015/CGSS2015.dta,a422,men-innately-more-capable,True,您是否同意-男性能力天生比女性强,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",10968,10894,99.3,3.012
CGSS,2015,surveys/CGSS/2015/CGSS2015.dta,a423,marry-well-over-work,True,您是否同意-干得好不如嫁得好,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",10968,10828,98.7,3.109
CGSS,2015,surveys/CGSS/2015/CGSS2015.dta,a424,fire-women-first,True,您是否同意-在经济不景气时，应该先解雇女性员工,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",10968,10630,96.9,2.221
CGSS,2015,surveys/CGSS/2015/CGSS2015.dta,a425,equal-housework-split,True,您是否同意-夫妻应该均等分摊家务,gender_ideology,Likert,5,5,progressive,"recode to [0,1], higher=more traditional",10968,10881,99.2,3.79
CGSS,2017,surveys/CGSS/2017/CGSS2017.dta,a421,men-career/women-family,True,[1男人以事业为重，女人以家庭为重]  您是否同意以下说法：,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",12582,12539,99.7,3.197
CGSS,2017,surveys/CGSS/2017/CGSS2017.dta,a422,men-innately-more-capable,True,[2 男性能力天生比女性强]  您是否同意以下说法：,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",12582,12497,99.3,2.887
CGSS,2017,surveys/CGSS/2017/CGSS2017.dta,a423,marry-well-over-work,True,[3 干得好不如嫁得好]  您是否同意以下说法：,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",12582,12472,99.1,3.062
CGSS,2017,surveys/CGSS/2017/CGSS2017.dta,a424,fire-women-first,True,[4 在经济不景气时，应该先解雇女性员工]  您是否同意以下说法：,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",12582,12303,97.8,2.072
CGSS,2017,surveys/CGSS/2017/CGSS2017.dta,a425,equal-housework-split,True,[5 夫妻应该均等分摊家务]  您是否同意以下说法：,gender_ideology,Likert,5,5,progressive,"recode to [0,1], higher=more traditional",12582,12526,99.6,3.828
CGSS,2018,surveys/CGSS/2018/CGSS2018.dta,a421,men-career/women-family,True,[1 男人以事业为重，女人以家庭为重]  您是否同意以下说法：,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",12787,12737,99.6,3.134
CGSS,2018,surveys/CGSS/2018/CGSS2018.dta,a422,men-innately-more-capable,True,[2 男性能力天生比女性强]  您是否同意以下说法：,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",12787,12705,99.4,2.835
CGSS,2018,surveys/CGSS/2018/CGSS2018.dta,a423,marry-well-over-work,True,[3 干得好不如嫁得好]  您是否同意以下说法：,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",12787,12673,99.1,3.006
CGSS,2018,surveys/CGSS/2018/CGSS2018.dta,a424,fire-women-first,True,[4 在经济不景气时，应该先解雇女性员工]  您是否同意以下说法：,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",12787,12452,97.4,2.095
CGSS,2018,surveys/CGSS/2018/CGSS2018.dta,a425,equal-housework-split,True,[5 夫妻应该均等分摊家务]  您是否同意以下说法：,gender_ideology,Likert,5,5,progressive,"recode to [0,1], higher=more traditional",12787,12719,99.5,3.858
CGSS,2023,surveys/CGSS/2023/CGSS2023.dta,a421,men-career/women-family,True,您是否同意-男人以事业为重，女人以家庭为重,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11326,6995,61.8,3.036
CGSS,2023,surveys/CGSS/2023/CGSS2023.dta,a422,men-innately-more-capable,True,您是否同意-男性能力天生比女性强,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11326,6962,61.5,2.731
CGSS,2023,surveys/CGSS/2023/CGSS2023.dta,a423,marry-well-over-work,True,您是否同意-干得好不如嫁得好,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11326,6932,61.2,2.965
CGSS,2023,surveys/CGSS/2023/CGSS2023.dta,a424,fire-women-first,True,您是否同意-在经济不景气时，应该先解雇女性员工,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",11326,6894,60.9,1.873
CGSS,2023,surveys/CGSS/2023/CGSS2023.dta,a425,equal-housework-split,True,您是否同意-夫妻应该均等分摊家务,gender_ideology,Likert,5,5,progressive,"recode to [0,1], higher=more traditional",11326,6988,61.7,4.07
CGSS,2021,surveys/CGSS/2021/CGSS2021.dta,A42_1,men-career/women-family,True,[1.男人以事业为重，女人以家庭为重] A42. 您是否同意以下说,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",8148,8079,99.2,3.166
CGSS,2021,surveys/CGSS/2021/CGSS2021.dta,A42_2,men-innately-more-capable,True,[2. 男性能力天生比女性强] A42. 您是否同意以下说法：,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",8148,8041,98.7,2.813
CGSS,2021,surveys/CGSS/2021/CGSS2021.dta,A42_3,marry-well-over-work,True,[3. 干得好不如嫁得好] A42. 您是否同意以下说法：,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",8148,8003,98.2,2.947
CGSS,2021,surveys/CGSS/2021/CGSS2021.dta,A42_4,fire-women-first,True,[4. 在经济不景气时，应该先解雇女性员工] A42. 您是否同意以,gender_ideology,Likert,5,5,traditional,"recode to [0,1], higher=more traditional",8148,7812,95.9,1.955
CGSS,2021,surveys/CGSS/2021/CGSS2021.dta,A42_5,equal-housework-split,True,[5. 夫妻应该均等分摊家务] A42. 您是否同意以下说法：,gender_ideology,Likert,5,5,progressive,"recode to [0,1], higher=more traditional",8148,8087,99.3,4.034
